;
; WIN30.DAT -- Windows 3.0 functions
; for use with Windows Source
; Copyright (c) 1992-1996 V Communications Inc.  All rights reserved.
;
; KRNL386.EXE
; "Microsoft Windows Kernel Interface Version 3.00"
;
GDI . 170	SETDCSTATUS
GDI . 171	LVBUNION
GDI . 172	SetRectRgn
GDI . 173	GETCLIPRGN
GDI . 175	EnumMetaFile
GDI . 176	PlayMetaFileRecord
GDI . 177	RCOS
GDI . 178	RSIN
GDI . 179	GETDCSTATE
GDI . 180	SETDCSTATE
GDI . 181	RectInRegion
GDI . 184	STUFFVISIBLE
GDI . 185	STUFFINREGION
GDI . 186	DELETEABOVELINEFONTS
GDI . 201	DMBITBLT
GDI . 202	DMCOLORINFO
GDI . 206	DMENUMDFONTS
GDI . 207	DMENUMOBJ
GDI . 208	DMOUTPUT
GDI . 209	DMPIXEL
GDI . 210	DMREALIZEOBJECT
GDI . 211	DMSTRBLT
GDI . 212	DMSCANLR
GDI . 213	BRUTE
GDI . 220	DMTRANSPOSE
GDI . 230	CreatePQ
GDI . 231	MinPQ
GDI . 232	ExtractPQ
GDI . 233	InsertPQ
GDI . 234	SizePQ
GDI . 235	DeletePQ
GDI . 240	OpenJob
GDI . 241	WriteSpool
GDI . 242	WriteDialog
GDI . 243	CloseJob
GDI . 244	DeleteJob
GDI . 245	GETSPOOLJOB
GDI . 246	StartSpoolPage
GDI . 247	EndSpoolPage
GDI . 248	QUERYJOB
GDI . 250	COPY
GDI . 345	GetTextAlign
GDI . 346	SetTextAlign
GDI . 347	MFDRAWTEXT
GDI . 348	Chord
GDI . 349	SetMapperFlags
GDI . 350	GetCharWidth
GDI . 351	ExtTextOut
GDI . 352	GETPHYSICALFONTHANDLE
GDI . 353	GetAspectRatioFilter
GDI . 354	SHRINKGDIHEAP
GDI . 360	CreatePalette
GDI . 361	GDISELECTPALETTE
GDI . 362	GDIREALIZEPALETTE
GDI . 363	GetPaletteEntries
GDI . 364	SetPaletteEntries
GDI . 365	REALIZEDEFAULTPALETTE
GDI . 366	UpdateColors
GDI . 367	AnimatePalette
GDI . 368	ResizePalette
GDI . 370	GetNearestPaletteIndex
GDI . 372	ExtFloodFill
GDI . 373	SetSystemPaletteUse
GDI . 374	GetSystemPaletteUse
GDI . 375	GetSystemPaletteEntries
GDI . 400	FASTWINDOWFRAME
GDI . 401	GDIMOVEBITMAP
GDI . 403	GDIINIT2
GDI . 405	FINALGDIINIT
GDI . 406	CREATEREALBITMAPINDIRECT
GDI . 407	CREATEUSERBITMAP
GDI . 408	CREATEREALBITMAP
GDI . 409	CREATEUSERDISCARDABLEBITMAP
GDI . 410	ISVALIDMETAFILE
GDI . 411	GETCURLOGFONT
GDI . 412	ISDCCURRENTPALETTE
GDI . 439	StretchDIBits
GDI . 440	SetDIBits
GDI . 441	GetDIBits
GDI . 442	CreateDIBitmap
GDI . 443	SetDIBitsToDevice
GDI . 444	CreateRoundRectRgn
GDI . 445	CreateDIBPatternBrush
GDI . 449	DEVICECOLORMATCH
GDI . 450	PolyPolygon
GDI . 451	CreatePolyPolygonRgn
;
; USER.EXE
; "Microsoft Windows User Interface"
;
USER . 1	MessageBox
USER . 2	OLDEXITWINDOWS
USER . 3	ENABLEOEMLAYER
USER . 4	DISABLEOEMLAYER
USER . 5	INITAPP
USER . 6	PostQuitMessage
USER . 7	ExitWindows
USER . 10	SetTimer
USER . 11	SETSYSTEMTIMER
USER . 12	KillTimer
USER . 13	GetTickCount
USER . 14	GETTIMERRESOLUTION
USER . 15	GetCurrentTime
USER . 16	ClipCursor
USER . 17	GetCursorPos
USER . 18	SetCapture
USER . 19	ReleaseCapture
USER . 20	SetDoubleClickTime
USER . 21	GetDoubleClickTime
USER . 22	SetFocus
USER . 23	GetFocus
USER . 24	RemoveProp
USER . 25	GetProp
USER . 26	SetProp
USER . 27	EnumProps
USER . 28	ClientToScreen
USER . 29	ScreenToClient
USER . 30	WindowFromPoint
USER . 31	IsIconic
USER . 32	GetWindowRect
USER . 33	GetClientRect
USER . 34	EnableWindow
USER . 35	IsWindowEnabled
USER . 36	GetWindowText
USER . 37	SetWindowText
USER . 38	GetWindowTextLength
USER . 39	BeginPaint
USER . 40	EndPaint
USER . 41	CreateWindow
USER . 42	ShowWindow
USER . 43	CloseWindow
USER . 44	OpenIcon
USER . 45	BringWindowToTop
USER . 46	GetParent
USER . 47	IsWindow
USER . 48	IsChild
USER . 49	IsWindowVisible
USER . 50	FindWindow
USER . 51	IsTwoByteCharPrefix
USER . 52	AnyPopup
USER . 53	DestroyWindow
USER . 54	EnumWindows
USER . 55	EnumChildWindows
USER . 56	MoveWindow
USER . 57	RegisterClass
USER . 58	GetClassName
USER . 59	SetActiveWindow
USER . 60	GetActiveWindow
USER . 61	ScrollWindow
USER . 62	SetScrollPos
USER . 63	GetScrollPos
USER . 64	SetScrollRange
USER . 65	GetScrollRange
USER . 66	GetDC
USER . 67	GetWindowDC
USER . 68	ReleaseDC
USER . 69	SetCursor
USER . 70	SetCursorPos
USER . 71	ShowCursor
USER . 72	SetRect
USER . 73	SetRectEmpty
USER . 74	CopyRect
USER . 75	IsRectEmpty
USER . 76	PtInRect
USER . 77	OffsetRect
USER . 78	InflateRect
USER . 79	IntersectRect
USER . 80	UnionRect
USER . 81	FillRect
USER . 82	InvertRect
USER . 83	FrameRect
USER . 84	DrawIcon
USER . 85	DrawText
USER . 86	ICONSIZE
USER . 87	DialogBox
USER . 88	EndDialog
USER . 89	CreateDialog
USER . 90	IsDialogMessage
USER . 91	GetDlgItem
USER . 92	SetDlgItemText
USER . 93	GetDlgItemText
USER . 94	SetDlgItemInt
USER . 95	GetDlgItemInt
USER . 96	CheckRadioButton
USER . 97	CheckDlgButton
USER . 98	IsDlgButtonChecked
USER . 99	DlgDirSelect
USER . 100	DlgDirList
USER . 101	SendDlgItemMessage
USER . 102	AdjustWindowRect
USER . 103	MapDialogRect
USER . 104	MessageBeep
USER . 105	FlashWindow
USER . 106	GetKeyState
USER . 107	DefWindowProc
USER . 108	GetMessage
USER . 109	PeekMessage
USER . 110	PostMessage
USER . 111	SendMessage
USER . 112	WaitMessage
USER . 113	TranslateMessage
USER . 114	DispatchMessage
USER . 115	ReplyMessage
USER . 116	PostAppMessage
USER . 117	GETTASKFROMHWND
USER . 118	RegisterWindowMessage
USER . 119	GetMessagePos
USER . 120	GetMessageTime
USER . 121	SetWindowsHook
USER . 122	CallWindowProc
USER . 123	CallMsgFilter
USER . 124	UpdateWindow
USER . 125	InvalidateRect
USER . 126	InvalidateRgn
USER . 127	ValidateRect
USER . 128	ValidateRgn
USER . 129	GetClassWord
USER . 130	SetClassWord
USER . 131	GetClassLong
USER . 132	SetClassLong
USER . 133	GetWindowWord
USER . 134	SetWindowWord
USER . 135	GetWindowLong
USER . 136	SetWindowLong
USER . 137	OpenClipboard
USER . 138	CloseClipboard
USER . 139	EmptyClipboard
USER . 140	GetClipboardOwner
USER . 141	SetClipboardData
USER . 142	GetClipboardData
USER . 143	CountClipboardFormats
USER . 144	EnumClipboardFormats
USER . 145	RegisterClipboardFormat
USER . 146	GetClipboardFormatName
USER . 147	SetClipboardViewer
USER . 148	GetClipboardViewer
USER . 149	ChangeClipboardChain
USER . 150	LoadMenu
USER . 151	CreateMenu
USER . 152	DestroyMenu
USER . 153	ChangeMenu
USER . 154	CheckMenuItem
USER . 155	EnableMenuItem
USER . 156	GetSystemMenu
USER . 157	GetMenu
USER . 158	SetMenu
USER . 159	GetSubMenu
USER . 160	DrawMenuBar
USER . 161	GetMenuString
USER . 162	HiliteMenuItem
USER . 163	CreateCaret
USER . 164	DestroyCaret
USER . 165	SetCaretPos
USER . 166	HideCaret
USER . 167	ShowCaret
USER . 168	SetCaretBlinkTime
USER . 169	GetCaretBlinkTime
USER . 170	ArrangeIconicWindows
USER . 171	WinHelp
USER . 172	SWITCHTOTHISWINDOW
USER . 173	LoadCursor
USER . 174	LoadIcon
USER . 175	LoadBitmap
USER . 176	LoadString
USER . 177	LoadAccelerators
USER . 178	TranslateAccelerator
USER . 179	GetSystemMetrics
USER . 180	GetSysColor
USER . 181	SetSysColors
USER . 182	KILLSYSTEMTIMER
USER . 183	GetCaretPos
USER . 185	GrayString
USER . 186	SwapMouseButton
USER . 187	ENDMENU
USER . 188	SetSysModalWindow
USER . 189	GetSysModalWindow
USER . 190	GetUpdateRect
USER . 191	ChildWindowFromPoint
USER . 192	InSendMessage
USER . 193	IsClipboardFormatAvailable
USER . 194	DlgDirSelectComboBox
USER . 195	DlgDirListComboBox
USER . 196	TabbedTextOut
USER . 197	GetTabbedTextExtent
USER . 198	CASCADECHILDWINDOWS
USER . 199	TILECHILDWINDOWS
USER . 200	OpenComm
USER . 201	SetCommState
USER . 202	GetCommState
USER . 203	GetCommError
USER . 204	ReadComm
USER . 205	WriteComm
USER . 206	TransmitCommChar
USER . 207	CloseComm
USER . 208	SetCommEventMask
USER . 209	GetCommEventMask
USER . 210	SetCommBreak
USER . 211	ClearCommBreak
USER . 212	UngetCommChar
USER . 213	BuildCommDCB
USER . 214	EscapeCommFunction
USER . 215	FlushComm
USER . 217	LOOKUPMENUHANDLE
USER . 218	DialogBoxIndirect
USER . 219	CreateDialogIndirect
USER . 220	LoadMenuIndirect
USER . 221	ScrollDC
USER . 222	GetKeyboardState
USER . 223	SetKeyboardState
USER . 224	GetWindowTask
USER . 225	EnumTaskWindows
USER . 227	GetNextDlgGroupItem
USER . 228	GetNextDlgTabItem
USER . 229	GetTopWindow
USER . 230	GetNextWindow
USER . 232	SetWindowPos
USER . 233	SetParent
USER . 234	UnhookWindowsHook
USER . 235	DefHookProc
